sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
COc1ccc2c(c1)N(C)/C(=C1\SC(=S)N(N)C1=O)S2,COc1ccc2c(c1)N(C)/C(=C1\SC(=S)N(NC(=O)[C@@H]3[C@H](C(=O)NN4C(=O)/C(=C5\Sc6ccc(OC)cc6N5C)SC4=S)[C@@H]4C=C[C@@H]3C4)C1=O)S2,amide,Sigma-Aldrich,monoamine,325.44,29.2938,57.181,18.9967,0,False,0,True,True,,29.2938,57.181,18.9967,54.772203038128744,3.0770900583218395,59.577307975856044,8.511043996550864,65.61933195065308,13.123866390130615,68.78923001204477,9.827032858863538
N#CCOC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1N,N#CCOC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1NC(=O)[C@@H]1[C@H](C(=O)Nc2cc(Cl)c(S(N)(=O)=O)cc2C(=O)OCC#N)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,289.7,25.585,56.9874,8.1385,2,False,0,True,True,,25.585,56.9874,8.1385,57.04212426803546,3.20461372292334,55.386447990550906,7.9123497129358435,60.48672450224098,12.097344900448196,63.07053068597092,9.01007581228156
COc1ccc(S(=O)(=O)NCCCC(=O)Nc2ccc(Sc3ccc(N)cc3)cc2)cc1,COc1ccc(S(=O)(=O)NCCCC(=O)Nc2ccc(Sc3ccc(NC(=O)[C@@H]4[C@H](C(=O)Nc5ccc(Sc6ccc(NC(=O)CCCNS(=O)(=O)c7ccc(OC)cc7)cc6)cc5)[C@@H]5C=C[C@@H]4C5)cc3)cc2)cc1,amide,Sigma-Aldrich,monoamine,471.604,30.4895,56.3122,10.0473,0,False,0,True,True,,30.4895,56.3122,10.0473,59.69966974054379,3.3539140303676285,58.410703532229434,8.34438621888992,63.85436357156807,12.770872714313615,67.36376880141134,9.623395543058763
Nc1ccc(S(=O)(=O)CCOS(=O)(=O)O)cc1,O=C(Nc1ccc(S(=O)(=O)CCOS(=O)(=O)O)cc1)[C@@H]1[C@H](C(=O)Nc2ccc(S(=O)(=O)CCOS(=O)(=O)O)cc2)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,281.311,25.4116,56.2288,5.9109,2,False,0,True,True,,25.4116,56.2288,5.9109,57.753633708105326,3.2445861633767037,54.49970611379478,7.785672301970683,59.402876247619524,11.880575249523904,61.99157835133737,8.855939764476767
Nc1ccc(S(=O)(=O)N2CCS(=O)(=O)CC2)cc1,O=C(Nc1ccc(S(=O)(=O)N2CCS(=O)(=O)CC2)cc1)[C@@H]1[C@H](C(=O)Nc2ccc(S(=O)(=O)N3CCS(=O)(=O)CC3)cc2)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,290.366,27.6425,55.8266,8.2169,0,False,0,True,True,,27.6425,55.8266,8.2169,57.77176644495128,3.245604856457937,55.59903378809744,7.9427191125853485,60.817233891143054,12.16344677822861,63.85326881350711,9.12189554478673
Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)ccc12,O=C(Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)ccc12)[C@@H]1[C@H](C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)ccc23)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,303.317,27.5721,55.7162,6.7765,4,False,0,True,True,,27.5721,55.7162,6.7765,58.49989733606376,3.2865110862957168,55.39425771982147,7.913465388545924,60.48517874926055,12.09703574985211,63.5211250556065,9.074446436515213
COC(=O)c1cc(SC#N)c(N)cc1OC,COC(=O)c1cc(SC#N)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3cc(OC)c(C(=O)OC)cc3SC#N)[C@@H]3C=C[C@@H]2C3)cc1OC,amide,Ambeed,monoamine,238.268,25.1228,55.4274,11.1211,0,False,0,True,True,,25.1228,55.4274,11.1211,53.82412837501412,3.023827436798546,53.86244810004462,7.694635442863516,59.22197848206356,11.844395696412713,61.750946351695696,8.821563764527957
O=S(=O)(CCO)CCS(=O)(=O)CCO,O=C(OCCS(=O)(=O)CCS(=O)(=O)CCO)[C@@H]1[C@H](C(=O)OCCS(=O)(=O)CCS(=O)(=O)CCO)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,diol,246.306,22.4908,54.2396,16.6345,0,False,0,True,True,,22.4908,54.2396,16.6345,48.129720931769384,2.703916906279179,52.40292775189189,7.486132535984555,58.06844941076005,11.613689882152011,60.01732963878016,8.57390423411145
N#Cc1c(N)sc2c1CCS(=O)(=O)C2,N#Cc1c(NC(=O)[C@@H]2[C@H](C(=O)Nc3sc4c(c3C#N)CCS(=O)(=O)C4)[C@@H]3C=C[C@@H]2C3)sc2c1CCS(=O)(=O)C2,amide,Ambeed,monoamine,228.298,26.1779,54.1222,8.8119,2,False,0,True,True,,26.1779,54.1222,8.8119,55.052930604010534,3.0928612698882323,53.04710065677482,7.5781572366821175,58.28510742968567,11.657021485937133,61.10218709743539,8.728883871062198
C=CS(=O)(=O)CC(O)CS(=O)(=O)C=C,C=CS(=O)(=O)CC(CS(=O)(=O)C=C)OC(=O)[C@@H]1[C@H](C(=O)OC(CS(=O)(=O)C=C)CS(=O)(=O)C=C)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,monoalcohol,240.302,22.7295,54.0068,4.2389,8,False,0,True,True,,22.7295,54.0068,4.2389,55.69763783545941,3.1290807772730003,51.08308585481108,7.29758369354444,55.67815191302599,11.135630382605198,57.76734545095525,8.252477921565035
NS(=O)(=O)c1ccc2c(c1)C(=NNc1ccccc1)c1cc(S(N)(=O)=O)ccc1-2,NS(=O)(=O)c1ccc2c(c1)C(=NN(C(=O)[C@@H]1[C@H](C(=O)N(N=C3c4cc(S(N)(=O)=O)ccc4-c4ccc(S(N)(=O)=O)cc43)c3ccccc3)[C@@H]3C=C[C@@H]1C3)c1ccccc1)c1cc(S(N)(=O)=O)ccc1-2,amide,Sigma-Aldrich,monoamine,428.495,30.3092,53.8738,3.906,4,False,0,True,True,,30.3092,53.8738,3.906,61.52864033114985,3.45666518714325,55.9092287641316,7.987032680590228,60.849600664260734,12.169920132852146,64.482391867858,9.211770266836856
Nc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)O)cc2)cc1,O=C(Nc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)O)cc2)cc1)[C@@H]1[C@H](C(=O)Nc2ccc(S(=O)(=O)Nc3ccc(S(=O)(=O)O)cc3)cc2)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,328.371,27.7469,53.6782,3.4611,4,False,0,True,True,,27.7469,53.6782,3.4611,59.397417005203174,3.3369335396181556,53.64503319870349,7.663576171243355,58.45899799765644,11.691799599531288,61.635745853279005,8.805106550468428
NS(=O)(=O)c1cc2c(c(Cl)c1Cl)NCNS2(=O)=O,NS(=O)(=O)c1cc2c(c(Cl)c1Cl)N(C(=O)[C@@H]1[C@H](C(=O)N3CNS(=O)(=O)c4cc(S(N)(=O)=O)c(Cl)c(Cl)c43)[C@@H]3C=C[C@@H]1C3)CNS2(=O)=O,amide,Ambeed,monoamine,332.19,29.6171,53.5244,6.0329,2,False,0,True,True,,29.6171,53.5244,6.0329,59.33424969956222,3.333384814582147,54.96763108785024,7.852518726835749,60.08858366952911,12.017716733905822,63.60825706942457,9.086893867060652
