sidechain_smiles,monomer_smiles,source,link,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,Ra_Diiodomethane,Ra_n_Hexadecane,Ra_PTFE,RED_Water,RED_Diiodomethane,RED_n_Hexadecane,RED_PTFE
CN(CCO)S(=O)(=O)c1ccc2c(c1)Cc1cc(S(=O)(=O)N(C)CCO)ccc1-2,CN(CCO)S(=O)(=O)c1ccc2c(c1)Cc1cc(S(=O)(=O)N(C)CCOC(=O)[C@@H]3[C@H](C(=O)OCCN(C)S(=O)(=O)c4ccc5c(c4)Cc4cc(S(=O)(=O)N(C)CCO)ccc4-5)[C@@H]4C=C[C@@H]3C4)ccc1-2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/r605956,30.8778,63.8156,17.8435,61.88989357698073,66.53086897801651,72.39385545037645,75.58141932360095,3.476960313313524,9.50440985400236,14.47877109007529,10.79734561765728
N#CCCN(CCC#N)S(=O)(=O)c1ccc(N)cc1,N#CCCN(CCC#N)S(=O)(=O)c1ccc(NC(=O)[C@@H]2[C@H](C(=O)Nc3ccc(S(=O)(=O)N(CCC#N)CCC#N)cc3)[C@@H]3C=C[C@@H]2C3)cc1,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s195073,24.5508,63.3392,7.0631,61.72768342332312,60.973395680493304,65.8334598878868,67.99637843892864,3.4678473833327597,8.71048509721333,13.166691977577361,9.713768348418379
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CO,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\COC(=O)[C@@H]1[C@H](C(=O)OC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/avanti/900210o?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,-9.0419,7.4186,5.984,61.65802222257862,53.80116341121259,51.57219662182328,44.516117804678345,3.463933832729136,7.685880487316084,10.314439324364656,6.359445400668335
NS(=O)(=O)c1ccc2c(c1)C(=NNc1ccccc1)c1cc(S(N)(=O)=O)ccc1-2,NS(=O)(=O)c1ccc2c(c1)C(=NN(C(=O)[C@@H]1[C@H](C(=O)N(N=C3c4cc(S(N)(=O)=O)ccc4-c4ccc(S(N)(=O)=O)cc43)c3ccccc3)[C@@H]3C=C[C@@H]1C3)c1ccccc1)c1cc(S(N)(=O)=O)ccc1-2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/r559296,30.3092,53.8738,3.906,61.52864033114985,55.9092287641316,60.849600664260734,64.482391867858,3.45666518714325,7.987032680590228,12.169920132852146,9.211770266836856
Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(C)cc3)CC(O)C2)cc1,Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(C)cc3)CC(OC(=O)[C@@H]3[C@H](C(=O)OC4CN(S(=O)(=O)c5ccc(C)cc5)CCN(S(=O)(=O)c5ccc(C)cc5)C4)[C@@H]4C=C[C@@H]3C4)C2)cc1,Ambeed,https://www.ambeed.com/products/28860-33-5.html,29.822,49.3088,-0.183,61.11268430072435,51.69496631626719,56.23850266890113,60.033680400588466,3.4332968708272102,7.38499518803817,11.247700533780225,8.576240057226924
CC(C)(C)OC(=O)NC(=NCCCN)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)NC(=NCCCNC(=O)[C@@H]1[C@H](C(=O)NCCCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)[C@@H]2C=C[C@@H]1C2)NC(=O)OC(C)(C)C,Ambeed,https://www.ambeed.com/products/214151-16-3.html,-9.4188,8.7232,7.7448,61.080275368076066,54.69693482307761,52.74374691885286,45.74976938783407,3.4314761442739363,7.81384783186823,10.548749383770572,6.535681341119153
Cc1c(N)c(S(N)(=O)=O)cc(S(N)(=O)=O)c1Cl,Cc1c(Cl)c(S(N)(=O)=O)cc(S(N)(=O)=O)c1NC(=O)[C@@H]1[C@H](C(=O)Nc2c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c2C)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph005925,26.71,58.7948,4.9631,61.05813138845637,57.71723944065586,62.56942758768055,65.31907277855375,3.430232100475077,8.245319920093694,12.51388551753611,9.331296111221963
C[Si](C)(c1ccc([Si](C)(C)c2ccccc2CO)cc1)c1ccccc1CO,C[Si](C)(c1ccc([Si](C)(C)c2ccccc2COC(=O)[C@@H]2[C@H](C(=O)OCc3ccccc3[Si](C)(C)c3ccc([Si](C)(C)c4ccccc4CO)cc3)[C@@H]3C=C[C@@H]2C3)cc1)c1ccccc1CO,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?HB-9441,25.558100000000003,-12.437399999999998,-7.8347,61.047812125333365,26.18162189953098,23.641512330855658,29.6208437639781,3.4296523665917618,3.7402316999329974,4.728302466171131,4.231549109139729
CC(C)(C)OC(=O)NC(=NCCN)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)NC(=NCCNC(=O)[C@@H]1[C@H](C(=O)NCCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)[C@@H]2C=C[C@@H]1C2)NC(=O)OC(C)(C)C,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/84190?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,-9.4802,9.3514,7.977,60.97797782084939,54.887981736624276,53.005245581168666,46.03179660973488,3.425729091058954,7.841140248089182,10.601049116233733,6.575970944247841
CC(C)(C)OC(=O)/N=C(\N)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)/N=C(/NC(=O)OC(C)(C)C)NC(=O)[C@@H]1[C@H](C(=O)N/C(=N\C(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/496871?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,-9.6013,10.6078,8.4414,60.79294088592853,55.289884984145154,53.547100963170735,46.61732061755587,3.415333757636434,7.898554997735022,10.709420192634147,6.65961723107941
