sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
CCCCCCCCCCCCCCCCCC(O)(CC)CC,CCCCCCCCCCCCCCCCCC(CC)(CC)OC(=O)[C@@H]1[C@H](C(=O)OC(CC)(CC)CCCCCCCCCCCCCCCCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,326.609,13.2986,-4.0702,1.7238,0,False,0,True,True,,13.2986,-4.0702,1.7238,45.48214575325135,2.55517672771075,12.60294339906357,1.80042048558051,7.454637638410066,1.4909275276820133,4.579443450900994,0.6542062072715706
CCCCC(C)(O)CCCC,CCCCC(C)(CCCC)OC(=O)[C@@H]1[C@H](C(=O)OC(C)(CCCC)CCCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,158.285,12.8343,-0.8038,4.5102,0,False,0,True,True,,12.8343,-0.8038,4.5102,41.69964633471128,2.342676760377038,11.033501005573887,1.5762144293676983,8.308568134161264,1.661713626832253,4.589133299436835,0.6555904713481192
CCCCCCCCCCCCCCCCCCCC1=C(O)C(=O)C(C)=C(O)C1=O,CCCCCCCCCCCCCCCCCCCC1=C(O)C(=O)C(C)=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=C(C)C(=O)C(O)=C(CCCCCCCCCCCCCCCCCCC)C3=O)[C@@H]3C=C[C@@H]2C3)C1=O,ester,Oakwood Products,diol,420.634,12.4121,-4.546,0.3308,4,False,0,True,True,,12.4121,-4.546,0.3308,47.13483181554804,2.6480242593004517,14.634664679452003,2.0906663827788576,9.013246378525333,1.8026492757050665,4.594245343905786,0.6563207634151124
CC(C)=C1CCNCC1,CC(C)=C1CCN(C(=O)[C@@H]2[C@H](C(=O)N3CCC(=C(C)C)CC3)[C@@H]3C=C[C@@H]2C3)CC1,amide,Combi-Blocks,monoamine,125.215,14.3027,-1.743,2.8468,0,False,0,True,True,,14.3027,-1.743,2.8468,43.32554844892329,2.4340195757822074,9.370557528770634,1.338651075538662,5.20568423936758,1.041136847873516,4.627840576337954,0.6611200823339934
CC(C)(C)[Si](C)(C)OCCCO,CC(C)(C)[Si](C)(C)OCCCOC(=O)[C@@H]1[C@H](C(=O)OCCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,190.359,15.1904,6.134,6.3824,0,True,2,True,True,,14.8074,-1.903599999999999,-0.2342000000000004,46.16942539863367,2.5937879437434646,10.118569149835368,1.4455098785479097,3.548233594339585,0.709646718867917,4.6306675155964285,0.6615239307994898
CNCCO[Si](C)(C)C(C)(C)C,CN(CCO[Si](C)(C)C(C)(C)C)C(=O)[C@@H]1[C@H](C(=O)N(C)CCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,189.375,12.2,3.765,6.2364,0,True,2,True,True,,11.817,-4.272599999999999,-0.3802000000000003,47.82087137223662,2.6865658074290235,15.638199985931886,2.234028569418841,9.939256451063128,1.9878512902126257,4.638794972835077,0.6626849961192968
CC(C)(C)[Si](C)(C)OCCOCCO,CC(C)(C)[Si](C)(C)OCCOCCOC(=O)[C@@H]1[C@H](C(=O)OCCOCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,monoalcohol,220.385,15.4178,7.7604,6.3824,0,True,2,True,True,,15.0348,-0.2771999999999996,-0.2342000000000004,45.55185016703493,2.5590927060131983,8.995297306926549,1.2850424724180785,2.5562890368657456,0.5112578073731491,4.683679498001547,0.6690970711430781
CCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,CCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=CC(=O)C(O)=C(CCCCCCCCCCCCCCC)C3=O)[C@@H]3C=C[C@@H]2C3)C1=O,ester,Oakwood Products,diol,350.499,14.8196,-2.0232,0.7844,4,False,0,True,True,,14.8196,-2.0232,0.7844,45.279493793990234,2.5437917861792267,9.635990776251294,1.376570110893042,3.6708252805057358,0.7341650561011471,4.762293380294834,0.6803276257564049
CCCCC(O)(CC)CC,CCCCC(CC)(CC)OC(=O)[C@@H]1[C@H](C(=O)OC(CC)(CC)CCCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,144.258,12.7946,-0.5316,4.7424,0,False,0,True,True,,12.7946,-0.5316,4.7424,41.39014221961553,2.3252888887424454,10.974021731343528,1.5677173901919326,8.480817941684634,1.6961635883369268,4.775851019451926,0.6822644313502751
CC(C)P(CCN)C(C)C,CC(C)P(CCNC(=O)[C@@H]1[C@H](C(=O)NCCP(C(C)C)C(C)C)[C@@H]2C=C[C@@H]1C2)C(C)C,amide,Sigma-Aldrich,monoamine,161.229,13.3284,-0.6038,4.6955,2,False,0,True,True,,13.3284,-0.6038,4.6955,41.335795394911656,2.3222356963433515,10.045509490812302,1.4350727844017575,7.59828407800077,1.519656815600154,4.898146683185387,0.6997352404550553
CC(C)=CCC/C(C)=C/CN,CC(C)=CCC/C(C)=C/CNC(=O)[C@@H]1[C@H](C(=O)NC/C=C(\C)CCC=C(C)C)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,153.269,12.6039,2.238,4.3676,0,False,0,True,True,,12.6039,2.238,4.3676,40.765293996241454,2.290185055968621,10.585008011333768,1.5121440016191097,8.872947345724533,1.7745894691449067,4.911365858903204,0.7016236941290291
CC(C)(C)[Si](C)(C)OCCCCCCN,CC(C)(C)[Si](C)(C)OCCCCCCNC(=O)[C@@H]1[C@H](C(=O)NCCCCCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,231.456,14.8364,5.141,4.7096,0,True,2,True,True,,14.453399999999998,-2.8965999999999994,-1.907,48.12194745435807,2.70348019406506,12.077100098947598,1.7253000141353712,5.066228064349258,1.0132456128698517,4.931996228709019,0.7045708898155741
CCCC(C)(O)CCC,CCCC(C)(CCC)OC(=O)[C@@H]1[C@H](C(=O)OC(C)(CCC)CCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,130.231,12.7546,-0.2594,4.9746,0,False,0,True,True,,12.7546,-0.2594,4.9746,41.08165598122841,2.307958201192607,10.927071801722548,1.5610102573889353,8.665643551404594,1.7331287102809187,4.9825553845391415,0.7117936263627345
CC(C)(C)[Si](C)(C)OCCCCO,CC(C)(C)[Si](C)(C)OCCCCOC(=O)[C@@H]1[C@H](C(=O)OCCCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,204.386,15.2216,5.5058,6.1502,0,True,2,True,True,,14.8386,-2.5318,-0.4664000000000001,46.62769970779172,2.619533691448973,10.585156590244663,1.512165227177809,3.8949069359870476,0.7789813871974095,4.992191907368947,0.7131702724812782
CCC#CC(C)(C)O,CCC#CC(C)(C)OC(=O)[C@@H]1[C@H](C(=O)OC(C)(C)C#CCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,112.172,12.8444,0.5572,4.969,0,False,0,True,True,,12.8444,0.5572,4.969,40.74668671536374,2.289139703110322,10.473211459719508,1.4961730656742154,8.530305872593315,1.7060611745186631,5.0084766426529335,0.7154966632361334
CC1=C(O)C(=O)CC1,CC1=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=C(C)CCC3=O)[C@@H]3C=C[C@@H]2C3)C(=O)CC1,ester,Ambeed,monoalcohol,112.128,14.3627,1.2222,3.5671,2,False,0,True,True,,14.3627,1.2222,3.5671,41.51860691798317,2.332506006628268,7.626718849544672,1.0895312642206674,5.4065238749126046,1.0813047749825209,5.027550139978716,0.7182214485683881
C[Si](C)(C)CN,C[Si](C)(C)CNC(=O)[C@@H]1[C@H](C(=O)NC[Si](C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,103.241,15.5766,8.5552,6.1731,0,True,2,True,True,,15.1936,0.5175999999999998,-0.4435000000000002,45.46522875616046,2.554226334615756,8.598785138029674,1.2283978768613821,2.315401876564845,0.46308037531296903,5.033563931251893,0.7190805616074133
CC(C)CNCC(C)(C)O,CC(C)CNCC(C)(C)OC(=O)[C@@H]1[C@H](C(=O)OC(C)(C)CNCC(C)C)[C@@H]2C=C[C@@H]1C2,ester,Combi-Blocks,"monoalcohol,monoamine",145.246,13.9554,2.6554,3.4903,0,False,0,True,True,,13.9554,2.6554,3.4903,41.155975506480225,2.3121334554202373,8.04435950775449,1.1491942153934984,6.420431441110483,1.2840862882220967,5.053460189810542,0.7219228842586488
CNC1CCC(N(C(C)=O)C(C)C)CC1,CC(=O)N(C(C)C)C1CCC(N(C)C(=O)[C@@H]2[C@H](C(=O)N(C)C3CCC(N(C(C)=O)C(C)C)CC3)[C@@H]3C=C[C@@H]2C3)CC1,amide,Oakwood Products,monoamine,212.337,14.3619,-2.225,3.1281,0,False,0,True,True,,14.3619,-2.225,3.1281,43.26395105685563,2.430559048137957,9.509135662614138,1.3584479518020198,5.45532410127941,1.091064820255882,5.07772400293675,0.7253891432766786
