smiles,compound_type,reason
C1COCCN1C(=S)SCC(=O)NC2=NC3=CC=CC=C3S2,monoamine,no free amine NH found
C1CCN(C1)C(=S)SCC(=O)NC2=NC3=CC=CC=C3S2,monoamine,no free amine NH found
C1COCCN1CC(=O)NCC(=O)C2=CC=C(C=C2)C3=CC=CC=C3,monoamine,no free amine NH found
CCOC(=O)N1CCN(CC1)CC(=O)C2=CC=C(C=C2)C3=CC=CC=C3,monoamine,no free amine NH found
C1COCCN1C2=CC=C(C=C2)C3=NC4=C(C=C(C=C4C=C3)Br)Br,monoamine,no free amine NH found
C1COCCN1C2=CC=C(C=C2)/C=C/C(=O)C3=CC=CC=C3,monoamine,no free amine NH found
C1CCN(CC1)C(=S)SCC(=O)NC2=NC3=CC=CC=C3S2,monoamine,no free amine NH found
CCN(CC)C1=CC(=C(C=C1)/C=C(/C#N)\C2=NC3=C(N2)C=C(C=C3)C)OC(C)C,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3S2,monoamine,no free amine NH found
C1CCN(C1)C(=S)SCC(=O)N2C3=CC=CC=C3C=N2,monoamine,no free amine NH found
C1CCN(CC1)C2=C(C=CC(=C2)Cl)C#N,monoamine,no free amine NH found
C1COCCN1C(=S)SCC(=O)NC2C3=CC=CC=C3C4=CC=CC=C24,monoamine,no free amine NH found
C1CCN(CC1)C(=S)SCC(=O)NC(C2=CC=CC=C2)C3=CC=CC=C3,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)C=C2C(=O)C3=CC=CC=C3C2=O,monoamine,no free amine NH found
CN(C)CC1=CC=C(C=C1)CNC(=O)C2=CC(=NC3=CC=CC=C32)C4CC4,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=C/2\C(=O)C3=CC=CC=C3O2,monoamine,no free amine NH found
C1COCCN1/C=N/NC(=O)COC2=CC=CC=C2,monoamine,no free amine NH found
C1C(=NN2C(=NN=C2S1)CCN3C4=CC=CC=C4SC5=CC=CC=C53)C6=CC(=CC=C6)[N+](=O)[O-],monoamine,no free amine NH found
C1C(=NN2C(=NN=C2S1)CCN3C4=CC=CC=C4SC5=CC=CC=C53)C6=CC=C(C=C6)[N+](=O)[O-],monoamine,no free amine NH found
C1OC2=C(O1)C=C(C=C2)/C=N/N3C(=NNC3=S)CCN4C5=CC=CC=C5SC6=CC=CC=C64,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)COC2=CC=CC(=C2)OC,monoamine,no free amine NH found
CC1(N(CCO1)C)C,monoamine,no free amine NH found
C1CCN(CC1)C2=C(C=CC(=C2)[N+](=O)[O-])C#N,monoamine,no free amine NH found
CC1=CC(=CC=C1)OCC(=O)N/N=C/C2=CC=C(C=C2)N(C)C,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)CC2=CNC3=CC=CC=C32,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)C2=NCCS2,monoamine,no free amine NH found
CN(C)C1=CC(=C(C=C1)/C=N/NC(=O)CC2=CC=CS2)Cl,monoamine,no free amine NH found
CN(C)C1=CC(=C(C=C1)/C=N/NC(=O)CC2=CNC3=CC=CC=C32)Cl,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)COC2=CC=CC=C2,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)COC2=CC3=C(CCCC3)C=C2,monoamine,no free amine NH found
C1CCN(CC1)C(=S)SCC(=O)NC2=NC=CS2,monoamine,no free amine NH found
C1COCCN1C(=S)SCC(=O)NC(C2=CC=CC=C2)C3=CC=CC=C3,monoamine,no free amine NH found
C1CSCCN1C(=S)SCC(=O)NC2C3=CC=CC=C3C4=CC=CC=C24,monoamine,no free amine NH found
C1CN(CCC12OCCO2)CC(=O)C3=CNC4=C3C=CC=N4,monoamine,no free amine NH found
C1CN(CCC1=O)CC(=O)C2=CNC3=C2C=CC=N3,monoamine,no free amine NH found
C1CCN(CC1)C2=NC(=CN3C2=NC=C3Br)Br,monoamine,no free amine NH found
